number,objective_score,crash_threshold,entry_pct,exit_z,gross_util,lookback,max_hold,roc_pct,roc_window,state,active_fold_count,activity_penalty,user_attrs_entry_pct,user_attrs_exit_z,user_attrs_gross_util,inactivity_penalty,invalid_reason,user_attrs_lookback,user_attrs_max_hold,mean_active_days_per_fold,mean_val_max_dd,mean_val_return,mean_val_sharpe,user_attrs_objective_score,penalty_reasons,user_attrs_roc_pct,user_attrs_roc_window,std_val_sharpe,total_dev_trades,traded_fold_share
27,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
28,-0.29693535863288006,off,0.75,0.0,2.0,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
29,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
30,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
31,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
32,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
33,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
34,-0.319379034749233,-15%,0.8,0.0,0.25,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
35,-0.18500246275293528,off,0.8,0.0,0.25,126,5,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
36,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
